stem_question,stem_answer
i ngiliz kulüpleri 1980 lerde avrupa rekabetinden yasaklandı,1985 yılında heysel stadyumu felaketinden i ngiliz kulüpleri beş yıl boyunca avrupa rekabetinden yasaklandı
futbol ligi birinci ligi üst seviyede oldu,1888 den yana i ngiliz futbolunun en üst seviyesi olan futbol ligi birinci ligi
i ngiliz futbolunun düşüş eğilimi zaman geri dönmeye başladı,1990 ların başında aşağı eğilim tersine başlamıştı
i ngiltere 1990 fifa dünya kupası nda başarılı oldu,i ngiltere 1990 fifa dünya kupası nda yarı finallere ulaşarak başarılı olmuştu
uefa 1990 yılında avrupa yarışmalarında oynayan i ngiliz kulüplerinin 5 yıllık yasağını kaldırdı,avrupa futbolunun yönetim organı olan uefa 1990 yılında avrupa yarışmalarında oynayan i ngiliz kulüplerinin beş yıllık yasağını kaldırdı
yasağın kaldırılması sonuçlanır,1991 yılında uefa kupa galipleri kupası nı kaldırarak manchester united sonuçlanan
stadyumların güvenlik standartları hakkındaki taylor raporu stadyumlara pahalı yükseltmeler önerdi,hillsborough felaketinin ardından koltuklu stadyumlar oluşturmak pahalı yükseltmeleri önerdi
futbol ligi 1986 iki yıllık anlaşma televizyon parasından elde edilen gelirlerden para aldı,futbol ligi 1986 yılında iki yıllık anlaşma 6 3 milyon aldı
1998 yılında anlaşma dört yıl boyunca yenilendi,anlaşma 1988 yılında yenilendi fiyat dört yıl içinde 44 milyon yükseldi
1988 kaç kulüp başka lig kurmakla tehdit etti,on kulüpleri bırakmak süper lig oluşturmak tehdit
en iyi takımlardan futbol liginden ayrılmayı düşünürler,spora pompalanan para artan akını yararlanmak
1986 yılında futbol ligi televizyon hakları fiyat belirlendi,6 3 milyon pound
1991 yeni lig önerisi ertelendi,1991 sezonunun kapanışı öneri masaya
kurucu üye anlaşması zaman imzalandı,17 temmuz 1991 tarihinde imzalanan kurucu üye anlaşması
anlaşma yaptı,fa premier ligi kurmak temel ilkeleri kurdu
yeni üst ligde futbol liginin yanı sıra futbol liginden ticari bağımsızlığı olur,yeni kurulan üst lig futbol federasyonu futbol ligi nden ticari bağımsızlığa sahip olacak
fa premier league yayın sponsorluk anlaşmalarını müzakere edebilir,yayın sponsorluk anlaşmaları müzakere fa premier league lisansı vermek
dyke büyük kulüplerin ulusal televizyonda yayınlanmasını istedi,dyke ülkedeki büyük kulüpleri ulusal televizyonda yer olsaydı lwt kazançlı olacağına inanıyordu
londra hafta sonu televizyonu nun genel müdürü kimdi,greg lezbiyen
birinci lig kulüpleri futbol ligi nden zaman istifa etti,1992 yılında birinci lig kulüpleri topluca futbol ligi istifa
fa premier league zaman sınırlı şirket kuruldu,27 mayıs 1992 tarihinde fa premier league lancaster gate deki futbol federasyonu nun genel merkezinde ofiste çalışan sınırlı şirket kuruldu
premier league anda kaç tümen başladı,premier lig tek bölüm çalışacak
premier league kurulduktan futbol ligi kaç bölüm yaptı,üç futbol ligi
premier league kurulduktan yarışma formatında değişiklik oldu,yarışma formatında değişiklik olmadı aynı sayıda takım üst uçuşta yarıştı
premier league ayrıldıktan kaç tümen başladı,tek bölünme
premier league ilk sezonunu zaman yaptı,lig ilk sezonunu 1992 93 yıllarında gerçekleştirdi
aslen premier ligi nin kaç tane kulübü vardı,aslen 22 kulüpleri oluşuyordu
premier lig ilk golü attı,i lk premier league golü manchester united a karşı 2 1 galibiyette sheffield united dan brian deane tarafından gol atıldı
blubs 1991 1992 sezonunun sonunda eski birinci ligden küme edildi ilk premier lig sezonunda yer almadı,luton town notts county west hham united eski birinci ligden küme üç takım vardı
2000 lerin ortalarında premier ligi nin önemli özelliği neydi,sözde big four kulüpleri hakimiyeti arsenal chelsea liverpool manchester united
takımın 2003 2004 yıllarında kayıpları yoktu ligi kazandı,arsenal 2003 04 yılında tek maç kaybetmeden ligi kazanmaya gidiyor
kevin keegan mayıs 2008 lig konusunda endişeliydi,kevin keegan big four hakimiyeti bölünme tehdit belirtti
2003 04 yılından beri arsenal herhangi kulüp oyunlarını kazandı,arsenal 2003 04 yılında tek maç kaybetmeden ligi kazanmaya gidiyor premier lig yaşanan tek seferdir
richard scudamore un işi neydi,premier lig i cra kurulu başkanı
2009 10 sezonunda takım dördüncü oldu,2009 10 sezonunda tottenham dördüncü sırada yer aldı 2005 te everton dan yana ilk dördü kıran ilk takım oldu
elit kulüplerin critcism vardı,diğer premier league kulüpleri fazla harcamak artan yeteneği nedeniyle
başlığı kazanmak big four in dışında ilk kulüp oldu 1994 95 yılından yana,manchester city 2011 12 sezonunda şampiyonluk kazandı 1994 95 yılından yana big four un dışındaki ilk kulüp oldu
iki big four kulübü 2011 12 sezonunda ilk dörtte bitiremedi,sezon aynı zamanda big four chelsea liverpool iki ilk dört dışında bitirmek gördü
2011 12 1994 95 ten beri kazanan ilk büyük dörtlü olmayan takım kulüp oldu,manchester şehri
1995 yılında yerli liglerin oynanan oyun miktarını düşürmesini talep etti,uluslararası futbol federasyonu fifa futbol uluslararası yönetim organı tarafından ısrarı nedeniyle
1995 yılında düşürüldü kulüplerin sayısı neydi,kulüp sayısı 1995 yılında 20 ye düşürüldü
iç ligde oynanan oyun sayısının azaltılması gerektiğini ısrar etti,fi fa
football association premier league ltd fapl kulübünde kaç oy,kulüp kural değişiklikleri sözleşmeler konularda biri oyla hissedardır
fapl başkanı kimdir zaman atandı,mevcut başkan sir dave richards nisan 199 yılında atandı
futbol federasyonu premier lig in yönetimi hakkında söylüyor,başkan baş yürütme seçimleri sırasında yeni kurallar lig tarafından kabul edildiğinde özel hissedar veto yetkisine sahiptir
futbol federasyonu premier ligi nin sahibi,üye kulüpleri
kulübün seçtireceği insanlar neyi denetlemektedir,ligin günlük işlemleri
avrupa kulüpler birliği kaç premeir ligi temsilcisinin bulunduğuna karar verir,kulüp sayısı kulüpleri kendilerini uefa katsayılarına seçilen
premier league in 2012 13 avrupa kulüpler birliği kaç temsilcisi,2012 13 sezonu premier league 10 temsilciye sahiptir
avrupa kulüpler birliği uefa nın kulüp yarışmaları komitesi kaç üye seçti,avrupa kulüpler birliği uefa nın kulüp yarışmaları komitesi üç üye seçmekten sorumludur
kulüp yarışmaları komitesi yarışmalarda söz sahibi,kulüp yarışmaları komitesi şampiyonlar ligi uefa avrupa ligi uefa yarışmalarının operasyonlarında yer almaktadır
premier league zaman oyun sezonu,sezon boyunca ağustos mayıs arası
kulüp sezon kaç oyun oynar,kulüp diğerlerini iki kez oynar çift yuvarlak robin sistemi kez ev stadyumunda kez rakiplerinin toplam 38 oyun
kulüp galibiyet kaç puan alır,takımlar kazanmak üç puan alır
kulüpleri sıralamak kriterler kullanılır,takımlar toplam puana sıralanır gol farkı gol atılır
şampiyonluk kravat işlenir,eğer şampiyonluk küme çekme diğer yarışmalara yeterlilik kravat varsa nötr mekanda play off maçı rütbe karar verir
premier league sezonunun başlangıcını ay gösterir,mayıs
beşinci premier lig takımı hak kazanacak,premier ligi nde beşinci sırada yer alan takım otomatik uefa avrupa ligi hak kazanıyor
yüksek fair play sıralamasına sahip olmak önemlidir,otomatik uefa avrupa ligi ilk eleme turuna hak kazanacaktır
eğer takım zaten şampiyonlar ligi hak kazanırsa fa kupası lig kupası nı kazanırsa başka takım şampiyonlar ligi hak kazanacak,yer premier ligi nde sonraki en iyi yerleştirilmiş sonlandırıcı gidecek
yurtiçi turnuva kazananları kaç avrupa ligi yeri ayrılmıştır,i
takım 2005 yılında şampiyonlar ligi yeterlilik vermedi parçalama başardı,uefa liverpool şampiyonlar ligi girmek özel izin verdi
liverpool kulübü 2005 te şampiyonlar ligi nde yer aldı,2005 yılında liverpool yıl şampiyonlar ligi kazandı şampiyonlar ligi yeterlilik yerde bitiremedi
i ngiltere nin 2005 te şampiyonlar ligi kaç elemesi vardı,uefa liverpool un şampiyonlar ligi girmesi özel izin verdi i ngiltere ye beş elemeli verdi
savunan şampiyonlar hak kazanmak yeterli galibiyetleri yoksa sonraki yılın şampiyonlar ligi nde oynayabilir,uefa sonradan savunan şampiyonlar bakılmaksızın iç lig yerleştirerek ertesi yıl rekabet hak hükmetti
dernekten kaç kazanan takım şampiyonlar ligi katılabilir,dernek şampiyonlar ligi dörtten fazla katılımcıya sahip olamaz
takımın masrafı önceki şampiyonun şampiyonlar ligi ilk dörtte yer almadan otomatik giriyor,dördüncü konumdaki takım
premier league takımları 1992 2013 yılından beri şampiyonlar ligi ni kaç kez kazandı,premier league kulüpleri uefa şampiyonlar ligi ni dört kez kazanmıştı
premier league aynı zaman diliminde dünya kupası nı fifa kulübü kaç kez kazandı,premier lig kulüpleri kez kazandı 2008 yılında manchester united
premier league takımları kaç kez dünya kupası nda ikinci oldu,iki kez ikinciler olmuştur
premier lig in 2009 10 gelirleri nelerdir,2009 10 yıllarında 2 48 milyar toplam kulüp gelirleri
2013 14 yıllarında artan gelirlerin nedenlerinden nelerdi,premier league diğer futbol liglerini aşan 78 milyon aşan net kar vardı
premier league 2010 yılında ödülü kazandı,2010 yılında premier league uluslararası ticaret kategorisinde queen s enterprise ödülüne layık görüldü
premier league in 2013 14 yıllarında net karları neydi,premier league diğer futbol liglerini aşan 78 milyon aşan net kar vardı
swansea city nin ev maçı wigan athletic e karşı zaman oynandı,20 ağustos 2011 tarihinde wigan athletic karşı liberty stadyumu nda swansea city nin ev maçı
swansea 2012 13 yıllarında europa leaque yarışmasına hak kazanmış mıydı,2012 13 yılları arasında swansea avrupa ligi katılmıştır
swansea avrupa ligi katıldı,swansea lig kupası nı kazanarak avrupa ligi kalifiye oldu
2013 14 yıllarında premier lig in galler kulüpleri arttı,premier league galli kulüp sayısı 2013 14 te ilk kez ikiye yükseldi
takım zaman terfi kazandı ilk sezonundan küme düştü,2013 14 yıllarında cardiff city terfi kazandığında cardiff city ilk sezonundan küme altına alınmıştır
2011 yılında takım premier ligi yükseltildi,swansea şehri
premier ligi nde i skoçya i rlanda kulüpleri,i skoç i rlanda kulüpleri tarafından premier ligi katılım bazen tartışıldı sonuç olmadan
takım 1998 yılında dublin i rlanda taşınma izni aldı,1998 yılında wimbledon dublin i rlanda taşınmak premier league onayı aldığında
i skoçya nın en büyük iki takımı nelerdir,i skoçya nın en büyük iki takımı celtic rangers
1992 yılında premier ligi yayın haklarını aldı,1992 yılında bskyb yayın hakları atamak lig in kararı
eşsiz karardı,ödemeli televizyon i ngiltere pazarında neredeyse denenmemiş teklif oldu
karardan premier lig in televizyon haklarına oldu,premier lig in tv haklarının değeri yükselir
bunun sebebi neydi,sky ın stratejisinin kombinasyonu premier league futbol kalitesi oyun halkın iştahı
avrupa ligleri televizyon haklarını toplu düzeyde satıyor,kulübün ayrı ayrı haklarını sattığı la liga dahil olmak diğer avrupa ligleri
avrupa ligleri televizyon haklarını tek tek sattıklarında olur,ilk kulüpleri gidiyor toplam gelirin yüksek payı
paranın son çeyreği dağıtılır,son çeyrek televizyonda gösterilen oyunlar tesis ücretleri ödenir üst kulüpleri genellikle en büyük hisselerini alan
premier league televizyon haklarını tür temelde satıyor,kolektif bazda
la liga yayın haklarını satıyor,bireysel
haklar ayrı ayrı satıldığında kulüpler yayın gelirinin en büyük payını alır,ilk kulüpleri
sky televizyon haklarının ilk beş sezonunun miktarı kadardı,i lk sky televizyon hakları anlaşması beş sezonda 304 milyon sterlin değerindeydi
premier league 2004 07 yıllarında uluslararası haklarını satmaktan kazanmıştır,lig 2004 05 ten 2006 07 yıllarına üç yıllık dönem uluslararası haklarının satışından 320 milyon getirdi
sky ın 2006 daki anlaşmasına oldu,sky tekeli ağustos 2006 dan itibaren kırıldı setanta sports mevcut maçlar altı paketinden ikisini göstermek haklara layık görüldü
oldu,durum avrupa komisyonu nun münhasır hakların tek televizyon şirketine satılmaması yönünde ısrarı sonrasında meydana geldi
premier lig 2007 2010 medyadan ortalama gelir neydi,premier league kulüplerine 2007 den 2010 a yılda 40 milyon pound civarında lig oyunlarından ortalama medya geliri veriyor
sky premier league aleyhinde mahkeme davası olmuştur,premier league sky arasındaki tv hakları anlaşması kartel olmakla suçlamalarla karşı karşıya kaldı
adil ticaret ofisi 2002 yılında sky ın pozisyonlarını kötüye kullandığı iddiasıyla ilgili karar verdi,2002 yılında adil ticaret ofisi bskyb nin ödemeli tv spor pazarında baskın olduğunu buldu iddia yetersiz gerekçeler olduğu sonucuna vardı
1999 premier lig in toplu satış haklarını araştırdı,temmuz 1999 premier league in üye kulüpleri toplu hakları satma yöntemi i ngiltere yasaklayıcı uygulamalar mahkemesi tarafından araştırılmıştır
toplu satış konusuna karar verdiler,anlaşmanın kamu yararına aykırı olmadığı sonucuna birleşik krallık kısıtlayıcı uygulamalar mahkemesi
2002 yılında premier league sky arasındaki anlaşmayı araştırdı,adil ticaret ofisi
premier lig in 1999 televizyon haklarını sattığını araştırdı,birleşik krallık yaslama uygulamaları mahkemesi
premier league 2010 13 yıllarında televizyon hakları konusunda para kazandı,2010 2013 dönemi tek başına televizyon hakları 1 782 milyar karşılığında satın alınmıştır
bt 2013 16 kaç oyun gösterdi,bt 2013 14 2015 16 sezonunda yılda 246 milyon 38 oyun ödüllendirildi
aynı zaman dilimi 116 oyun gösterecek,kalan 116 oyun yılda 760 milyon pound ödeyen sky tarafından tutuldu
yerli televizyon hakları 2010 12 den 2012 13 e yükselmiştir,toplam iç haklar 2010 11 ila 2012 13 haklarına 70 2 artışla 3 018 milyar artırmıştır
bt sky 2018 19 sezonuna hakları ödedi,sky bt premier league olan sözleşmelerini 2018 19 sezonuna üç yıl yenilemek toplam 5 136 milyar ödedi
premier league televizyonda en dağıtılan spor yayını olan ülke hangisi,premier league en yaygın dağıtılan spor programı olan asya özellikle popülerdir
çin premier lig in oyunlarını yayınlar,çin yayın hakları 2013 14 sezonunda başlayan altı yıllık anlaşmada super sports a verildi
kanada premier lig in oyunlarını yayınlar,2013 14 sezonu itibariyle premier league kanadalı yayın hakları sportsnet tsn ortaklaşa aittir
biri kaç oyun yayınlıyor,iki rakip ağlar sezon başına 190 maç haklarına sahip
avustralya daki premier league in ana canlı yayın kuruluşu hangisidir,tilki sporları
ağ yayınları premier league hindistan yaşıyor,star sporları
2014 15 sezonunda amerika birleşik devletleri nde ortalama izlenme süresi neydi,nbc nbcsn 2014 15 sezonunda ortalama 479 000 izleyici
nbc sports 2015 te premier league kaç yıl uzatma aldı,nbc sports 2015 yılında premier lig altı yıllık uzatma aldı
uzantının değeri neydi,1 milyar 640 milyon değerinde anlaşma
amerikan yayın kuruluşu premier league anda gösterir,nbc sporları
premier lig futbol ligi arasındaki mesafe olmuştur,ligler arasında televizyon haklarından gelir eşitsizliği büyük ölçüde
premier lig deki yeni takım ilk sezonunda herhangi zorluk yaşadı,yeni terfi edilen takım premier lig deki ilk sezonunda küme düşmesini önlemeyi zor buldular
yeni takımın premier lig deki ilk sezonundan futbol ligi geri dönmesi alışılmadık mıydı,2001 02 2011 12 hariç sezonda en az premier league üyesi tekrar futbol ligi düşürüldü
1997 98 sezonunda kaç yeni takım futbol ligi geri dönmek zorunda kaldı,1997 98 yıllarında terfi edilen üç kulüp sezon sonunda küme altına alındı
ligler arasındaki televizyon hakları gelirlerindeki eşitsizlik nedeniyle premier ligi ilk sezonunda küme düşmesini önlemek mücadele eder,yeni terfi edilen takımlar
takım premier lig küme alınırsa tür tv ödemesi alırlar,premier league televizyon gelirinin kısmını ligden paraşüt ödemeleri şeklinde küme edilen kulüplere dağıtır
eleştirmenler ödeme hakkında söylüyor,eleştirmenler ödemeler aslında premier league ulaşmış takımlar olmayanlar arasındaki boşluğu genişletmek sürdürmek
premier lig e hemen giremeyen kulüplere oldu,finansal sorunlar
futbol ligi kulübü televizyon gelirleri ortalama alır,ortalama futbol ligi şampiyonası kulübü 2 milyon alır
paraşüt ödemeleri premier league takıma dağıtılır,kümelenmiş
2013 14 sezonundan başlayarak paraşüt ödemeleri gelir miktarını aşmaktadır,60 milyon sterlin
taylor report 1989 daki hillsborough felaketinde önerdi,ayakta teraslar kaldırılması gerektiğini öneri
tavsiyelerinin sonucu neydi,sonuç premier lig deki stadyumlar koltuklu
2010 11 sezonunda premier ligi nde stadyumların toplam oturma kapasitesi neydi,premier league in 2010 11 sezonunda toplam kapasitesi 770 477 dir ortalama kapasitesi 38 523
taylor raporu stadyumlardan kaldırılması önerdi,ayakta teraslar
premier lig in oynandığı kaç stadyum 2016 yılı itibariyle yıkıldı,dokuz
2007 08 sezonunda premier liglerin standart katılımı neydi,premier league in rekor ortalaması 36 144 katılım 2007 08 sezonunda belirlendi
ligin ilk yıl katılım ortalaması neydi,ligin ilk sezonunda 1992 93 kaydedilen 21 126 ortalama katılım
2013 14 sezonu katılım yeni rekor kırdı,2013 14 sezonunda ortalama 36 695 katılım kaydetti toplam katılım 14 milyonun biraz altında
ekibin yöneticisinin uğraşması gereken günlük görevler nelerdir,premier lig deki yöneticiler eğitim takım seçimi oyuncu edinimi dahil olmak ekibin günlük çalışmasına katılır
yöneticinin tür lisansa ihtiyacı vardır,yöneticilerin uefa pro lisansına sahip olmaları gerekmektedir
bekçi yöneticisi nedir,bekçi randevuları yönetici kalkış yeni randevu arasındaki boşluğu dolduran yöneticilerdir
bekçi menajeri olan birine örnek vereyim,örnekler arasında portsmouth tan paul hart tottenham hotspur daki david pleat yer almaktadır
premier lig in başında oyunların ilk turunda kaç yabancı oyuncu vardı,1992 93 yılında premier league in başlangıcında maçların ilk turu başlangıç sıralamalarında on oyuncu seçildi
2000 1 sezonunda yabancı oyuncuların yüzdesi neydi,2000 01 yıllarında premier lig e katılan yabancı oyuncu sayısı toplamın yüzde 36 sı oldu
1999 yılında takım yabancı oyunculardan oluşuyordu başlangıç dizisi vardı,26 aralık 1999 chelsea tamamen yabancı başlangıç sıralamasını alan ilk premier lig tarafı oldu
2005 yılında takımda yabancı takım oyuncuları vardı,14 şubat 2005 tarihinde arsenal maç tamamen yabancı 16 adamlık kadro adını ilk aldı
2009 yılında oyuncuların yüzde premier ligi nde i ngilizce idi,2009 yılına gelindiğinde premier lig deki oyuncuların 40 ı i ngilizceydi
home office 1999 yılında çalışma izinleri ilgili kuralları değiştirdi,kulüplerin yabancı oyuncuların lehine genç i ngiliz oyuncuları geçtiği kaygılarına yanıt
değişikliklerinden biri neydi,izin başvuran ab üyesi olmayan oyuncu ülkesi rekabetçi a takım maçlarının en az yüzde 75 inde oynamış olmalıdır
yabancı oyuncuların başka şartı neydi,ülkesinin son iki yıl içinde resmi fifa dünya sıralamasında en az 70 sırada yer almış olması gerekir
kulüp gerekliliğe itiraz edebilir,oyuncu kriterleri karşılamazsa imzalamak isteyen kulüp itiraz edebilir
oyuncu zaman transfer edilebilir,oyuncular futbol federasyonu tarafından ayarlanan transfer pencereleri sırasında transfer edilebilir
oyuncular acil durumda transfer pencereleri dışında transfer edilebilir,oyuncu kayıtları genellikle acil durum bazında fa tarafından verilen belirli lisans dışında pencerelerin dışında değiştirilemez
2010 11 sezonunda yeni kural uygulamaya kondu,2010 11 sezonu itibariyle premier league kulübün 21 yaş üzeri maksimum 25 kişilik oyuncu kadrosuna kayıt yaptırması gerektiğini belirten yeni kurallar tanıttı
yeni kural yürürlüğe kondu,ev yetiştirici kuralının yürürlüğe girmesini sağlamak içindi
oyuncu süre zarfında avrupa futbol liginden diğerine aktarılabilir,aktarma pencereleri
futbol federasyonu ndan yıl kaç tane transfer penceresi mevcuttur,iki
transfer pencereleri dışındaki transferler temelde lisanslıdır,acil durum
geçtiğimiz yıllarda transfer ücretleri arttı,premier league oyuncusu rekor transfer ücreti yarışmanın ömrü boyunca sürekli arttı
1996 yılında rekor kırma transfer ücreti neydi,alan shearer 1996 newcastle united a 15 milyon sterlin kırarak rekor yaptı
2013 yılında gareth bale transfer ücreti neydi,tottenham hotspur 2013 te real madrid e 85 milyon sterlin karşılığında gareth bale i satıyor
luis suarez in 2014 yılında transfer ücreti neydi,liverpool 2014 yılında luis suárez i barselona 75 milyon sterlin karşılığında sattı
sezona verilen altın bot ödülü kimdir,golden boot sezon sonunda en iyi premier league golcüsüne verilir
premier league en gol rekoruna sahip,newcastle united forvet alan shearer 260 premier league gollerinin çoğunun rekorunu elinde tutuyor
kaç oyuncu 100 gol başardı,yirmi dört oyuncu 100 gol işaretine ulaştı
kaç farklı oyuncu en iyi golcü unvanını kazandı,10 farklı kulüpten 14 farklı oyuncu en iyi golcü unvanını kazandı paylaştı
tek sezonda en golü atmanın rekoruna sahip,andrew cole alan shearer sırasıyla newcastle blackburn sezonda 34 en gol rekoruna sahip
altın bot ödülü kime verilir,premier lig gol kralı
premier lig şampiyonası kupasının dayandığı nedir,kupa tasarımı i ngiliz futbolu ilişkili three lions heraldry dayanmaktadır
kupanın neresinde iki aslan görülebilir,aslanlardan ikisi kupanın iki tarafında kulpların üstünde bulunur
üçüncü aslan nerede görülebilir,üçüncüsü şampiyonluk kazanan takımın kaptanı tarafından kupayı yükseltirken altın tacı sezon sonunda başının üstünde sembolize edilir
kupa üzerindeki şeritler anlama geliyor,kolları örten şeritler yıl lig şampiyonlarının takım renklerinde sunulur
altın çizmedeki malakitin yeşil rengi neyi temsil ediyor,oyunun yeşil alanı
altın çizme kaç aslan bulunur,i
altın çizme kupasında bulunmayan üçüncü aslanı sembolize eder,başlık kazanan takımın kaptanı
en roma cumhuriyeti ni sona erdiren olay düşünüyorsunuz,roma senatosu nun octavian a olağanüstü güçler vermesi
askeri başarı el ele gitti,siyasi başarı
cumhuriyetçi roma nın ilk günlerinde savaşlar ortak sonuç neydi,vardı şekilde restorasyon
roma nın bölgedeki diğer büyük güçle çatışmaya yaklaşmasına yardımcı oldu,büyüyen koalisyon
hannibal ın tarafını kasabalar seçmişti,kategori güney i talya
noktada roma dünyası roma nın kontrolü altında birleşti,roma i mparatorluğu dönemi
roma nın batıdaki etkisinin etkisi görülmeyen nedir,kasıtlı imparatorluk kurma
düşmanları tarafından aşırı yüklendikten roma dan yardım isteyen,i etrüsk kasabası
nihayetinde pyrrhus un i talya ülkesinden tamamen boşalmasına olan nedir,fazla kazançlar az umut görmek
savaşlar roma başlangıçta tam felaketler vardı,kategori deniz savaşları
romalılar tarafından tür motor icat edildi,yakalı motoru
kartacalılar romalılara karşı kayıptan ordularını yönetmesi kimi kiraladı,ksantipipus
hannibal savaşta açıkça yenildi,zama muharebesi
kartaca öncelikle tür koloniden oluşuyordu,pik koloniler
kartaca nın geri çevirdiği romalıların asıl isteği neydi,teslimiyet tamamlayın
makedonya krallığı yarımadada bulunabildi,yunan yarımadası
roma nın isteği hızla i kinci makedon savaşı nın başlamasına yol açan v philip tarafından göz ardı edildi,roma nın yeni yunan müttefiklerine karşı yaptığı kampanyaları sona erdirmek ültimatom
philip cynoscephalae savaşı nda kaybından yapmaya zorlandı,onun son yunan fetihleri
hannibal seleucid i mparatoru planının olduğu düşünülüyordu,yunanistan ı roma yı doğrudan fethetti
romalılar tarafından i talya garnizon konulmuştu,seleucidlerin i talya gitmesi durumunda
romalılar güçlerini yunanistan dan çekmeye karar verdiler,büyük yunan gücünün eksikliği istikrarlı barış sağlayacak varsayarak umut
kayıp seleucids i mparatorluğu nun düşüş başladı,magnesia muharebesi
makedonya krallığı kaç cumhuriyete bölündü,dört müvekkil cumhuriyetleri
dördüncü makedonya savaşı nda roma kimlerle savaştı,makedon tahtına talip
jugurtha nın esir olmasına sebep oldu,hainlik
romalı köle ustalarından büyük sayıları vardı,köleler
nihayetinde sosyal savaşı başlatan nedir,müttefikler roma nın askeri kampanyalarının riskini paylaştıklarından şikayet ettiler ödüllerini
colline kapısı muharebesi roma nın bölümünde gerçekleşti,şehrin kapısı
colline kapısı savaşı nda yenildi,marius destekçilerinin ordusu
roma cumhuriyeti nin çöküşüne yol açan nedenlerden biri kabul edilebilir,roma birliklerinin birbirlerine karşı savaş açmaya istekli olması
pontus un hükümdarı roma yı kızdırdı,krallığını genişletmek arayarak
julius caesar galya yı istila etmek istedi,ona aradığı dramatik askeri başarı verecekti
julius caesar ın galya savaşları nı başlatmak kullandığı mantık neydi,iki yerel kabile roma transalpine galya eyaletinin yakınlarına götürecek rota üzerinde göç etmeye başladı
marcus licinius crassus savaşta öldü,carrhae muharebesi
senatörler sezar ın konsül olması talep etti,devlete ordularının kontrolünü devlete devretti
romalı senatörler sezar ın öldürülmesini istediler,roma cumhuriyeti tehlikedeydi
i ç savaşın fişeklerinin tekrar kıvılcmasına olan başarısızlık nedir,i kinci octavius üçlüsü
kralın roma krallığı nda seçilebileceği terimin uzunluğu neydi,yaşam süresi
politik eşit kabul edilen ortak danışman kimlerdi,yaşlı kral
senatörler tribünlerin iyiliğini kazanmaya çalıştı,tribünlere büyük güç verdi
yüksek ofis tutmak yol kabul edildi,tribunate
plebiscitum ovinium girişimi yılda yürürlüğe kondu,m ö 312 öncesi
kimin yüksek ofis pozisyonlarına seçilmesine izin verildi,patriciler
mö 287 deki tipik plebeian ınızın ekonomik durumu neydi,zavallı
patrician senatörler plebilerin biriken borcunu ele almayı reddetti,son plebeyen ayrılma
kaç plebe ailesi eski aristokrat patrician aileleri aynı duruşa sahipti,küçük sayı
süre zarfında senato yüce kabul edildi,dönemin dış askeri politika soruları hakim olduğu
yıllarda önemli siyasi değişiklik yaşanmadı,mö 287 mö 133
plebeian ları doyan politik unsur neydi,iktidarı ele geçirme
vatandaşların çiftliklerini terk etmesine sebep oldu,uzun askeri kampanyalar
tür kültür ortalama plebeian yaygın yoksulluk yan etkisi oldu,bağımlılık kültürü
dönemde çiftçinin iflas oldu,emtia fiyatları düştü
tiberius gracchus zaman öldürüldü,mahkemeye yeniden seçim durdu zaman
roma anayasal teorisinin tersi kabul edilen nedir,halkın temsilcisi halkın isteklerine karşı hareket ettiğinde biri olmaktan çıktığını
gaius gracchus un son oyunu düşünülür,senato zayıflatmak demokratik güçleri güçlendirmek
gaius gracchus cinayetinin yeri neydi,capitoline hill in roma
sulla mithridates çatışmaya geri döndükten oldu,marius lucius cornelius cinna kısa süre şehrin kontrolünü ele geçirdi
şehri kontrol eden popülerlerin öncesinde ofisler arasında kaç yıl yayılması normaldi,on yıllık aralık
crassus i lk triumvirate anlaşmasında almayı kabul etti,gelecekteki danışmanlık
tür dava cicero nun clodius a karşı tanıklık ettiğini gördü,sacrilege davası
julius caesar ın dişi yavrularının ölümüne sebep oldu,doğum
senato tarafından pompey e tür güçler verildi,diktatörlük
senatör aristokrasisinin prestijine karşı kabul edilir,900 senato üyeliği kaldırdı
mark antony öldü,i ntihar etti
mark antony savaşta yenilgiyi gördü,aktium muharebesi
roma nın askeri kampanyalarının özelliği düşünülebilir,inatçı sebat
son yüzyılda roma cumhuriyeti nde sorun kabul edildi,i ç savaş
roma yı sık sık yabancı topraklarda savaşa götüren neydi,müttefik savunması
romalı askerlerin teçhizatlarını satın alması bekleniyor muydu,en iyi ekipman satın almak başardık zengin vatandaşlar
falanks oluşumunu kullanmanın zararı neydi,büyük açık alanlarda savaşırken etkili
orta i talyan yarımadasında tür zemin bulunabilir,engebeli arazi
tek manipülar lejyonda kaç süvari bulunması muhtemeldir,300 atlı
sayıda süvari birliklerinin nereden alınmasını beklersiniz,binicilerin en zengin sınıfı
i kinci pön savaşı nın başlangıcında roma kaç asker vardı,770 000 erkek
roma nın ordusunun kısmını yakındaki diğer bölgelerden tedarik etmesine izin verdi,diğer halklar askeri konfederasyon
roma nüfusunun düşüşüne atfedilen faktör kabul edildi,çeşitli savaşlarda meydana gelen büyük kayıplar
roma ordusunun hafif piyadelerinin çoğunluğunu oluşturabilir,olmayan vatandaşlar
kilikya korsanları çıkarmak denizde miktarda deniz gemileri gönderilmişti,akdeniz denizi
roma deniz kuvvetlerinin canlandırılması arkasındaki itici güç neydi,çeşitli yeni talepleri karşılamak
roma ordusunun yönü akdeniz in boyun eğdirilmesinden büyüklüğünde düşüş gördü,roma deniz kuvvetleri
